episode_id,cluster_kmeans
1,5
2,0
3,2
4,2
5,0
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,4
18,2
19,2
20,2
21,2
22,2
23,4
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,4
38,2
39,2
40,2
41,2
42,2
43,2
44,4
45,2
46,4
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,4
64,4
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,4
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,4
100,2
101,2
102,2
103,4
104,4
105,2
106,2
107,2
108,0
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,4
119,2
120,2
121,4
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,5
137,5
138,2
139,2
140,4
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,0
169,2
170,2
171,2
172,4
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,3
193,2
194,2
195,4
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,4
205,2
206,5
207,2
208,7
209,5
210,2
211,2
212,5
213,1
214,1
215,2
216,4
217,4
218,2
219,3
220,3
221,3
222,1
223,1
224,6
225,1
226,7
227,1
228,7
229,7
230,0
231,7
232,7
233,7
234,1
235,3
236,3
237,7
238,3
239,5
240,3
241,3
242,7
243,4
244,1
245,1
246,7
247,3
248,0
249,1
250,0
251,3
252,3
253,3
254,1
255,7
256,4
257,4
258,4
259,1
260,4
261,7
262,1
263,1
264,1
265,7
266,7
267,1
268,7
269,7
270,7
271,1
272,7
273,7
274,7
275,7
276,0
277,1
278,7
279,7
280,7
281,1
282,7
283,7
284,0
285,3
286,7
287,1
288,1
289,7
290,7
291,7
292,0
293,7
294,7
295,3
296,7
297,1
298,1
299,3
300,7
301,7
302,7
303,2
304,7
305,1
306,3
307,0
308,7
309,7
310,6
311,1
312,3
313,3
314,0
315,7
316,3
317,1
318,1
319,7
320,1
321,7
322,2
323,2
324,1
325,1
326,7
327,7
328,1
329,5
330,3
331,3
332,0
333,3
334,4
335,1
336,1
337,7
338,1
339,1
340,7
341,4
342,4
343,1
344,3
345,3
346,7
347,3
348,3
349,1
350,4
351,1
352,4
353,1
354,5
355,1
356,1
357,1
358,7
359,3
360,3
361,1
362,3
363,7
364,5
365,3
366,5
367,1
368,3
369,5
370,1
371,7
372,1
373,3
374,6
375,5
376,3
377,3
378,1
379,1
380,1
381,1
382,0
383,1
384,7
385,4
386,4
387,1
388,1
389,3
390,3
391,7
392,7
393,7
394,1
395,1
396,1
397,1
398,1
399,1
400,6
401,3
402,1
403,3
404,3
405,5
406,3
407,3
408,3
409,1
410,7
411,0
412,1
413,1
414,3
415,3
416,1
417,3
418,3
419,7
420,7
421,1
422,1
423,3
424,3
425,3
426,1
427,3
428,5
429,5
430,3
431,1
432,3
433,1
434,1
435,1
436,5
437,1
438,7
439,7
440,1
441,7
442,1
